Escherichia albertii
Escherichia coli
Escherichia fergusonii
Ethanoligenens harbinense
Eubacterium cellulosolvens
Eubacterium eligens
Eubacterium hallii
Eubacterium limosum
Eubacterium rectale
Eubacterium saburreum
Eubacterium saphenum
Eubacterium siraeum
Eubacterium ventriosum
Faecalibacterium prausnitzii
Fibrobacter succinogenes (Bacteroides succinogenes)
Finegoldia magna
Flavobacterium johnsoniae
Frankia alni
Frankia symbiont
Fusobacterium gonidiaformans
Fusobacterium mortiferum
Fusobacterium nucleatum
Fusobacterium periodonticum
Fusobacterium ulcerans
Fusobacterium varium
Geobacillus thermodenitrificans
Geobacter bemidjiensis
Geobacter lovleyi
Geobacter metallireducens
Geobacter sulfurreducens
Geobacter uraniumreducens
Gluconobacter oxydans
Goblet cell (host colon)
Granulibacter bethesdensis
Haemophilus influenzae
Haemophilus parainfluenzae
Haloarcula marismortui
Halobacterium salinarum
Haloferax volcanii
Helicobacter pylori
Hepatocyte (host liver)
Holdemania filiformis
Hyphomicrobium denitrificans
Ignicoccus hospitalis
Ilyobacter polytropus
Jonesia denitrificans
Ketogulonicigenium vulgare
Kingella denitrificans
Klebsiella pneumoniae
Klebsiella variicola
Lactobacillus acidophilus
Lactobacillus amylolyticus
Lactobacillus amylovorus
Lactobacillus antri
Lactobacillus brevis
Lactobacillus buchneri
Lactobacillus casei
Lactobacillus coleohominis
Lactobacillus crispatus
Lactobacillus delbrueckii
Lactobacillus fermentum
Lactobacillus gasseri
Lactobacillus helveticus
Lactobacillus hilgardii
Lactobacillus iners
Lactobacillus jensenii
Lactobacillus johnsonii
Lactobacillus oris
Lactobacillus paracasei
Lactobacillus plantarum
Lactobacillus reuteri
Lactobacillus rhamnosus
Lactobacillus ruminis
Lactobacillus sakei
Lactobacillus salivarius
Lactobacillus ultunensis
Lactobacillus vaginalis
Lactococcus lactis
Leptotrichia buccalis
Leptotrichia goodfellowii
Leptotrichia hofstadii
Leuconostoc citreum
Leuconostoc gasicomitatum
Leuconostoc kimchii
Leuconostoc mesenteroides
Listeria innocua
Listeria monocytogenes
Marvinbryantia formatexigens
Megamonas hypermegale
Megasphaera micronuciformis
Mesorhizobium ciceri
Mesorhizobium loti
Mesorhizobium opportunistum
Metallosphaera sedula
Methanobrevibacter ruminantium
Methanobrevibacter smithii
Methanocaldococcus fervens
Methanocaldococcus infernus
Methanocaldococcus jannaschii
Methanocaldococcus vulcanius
Methanocella paludicola
Methanococcoides burtonii
Methanococcus aeolicus
Methanococcus maripaludis
Methanococcus vannielii
Methanococcus voltae
Methanocorpusculum labreanum
Methanoculleus marisnigri
Methanohalobium evestigatum
Methanohalophilus mahii
Methanoplanus petrolearius
Methanopyrus kandleri
Methanoregula boonei
Methanosaeta thermophila
Methanosarcina acetivorans
Methanosarcina barkeri
Methanosarcina mazei
Methanosphaera stadtmanae
Methanosphaerula palustris
Methanospirillum hungatei
Methanothermobacter marburgensis
Methanothermobacter thermautotrophicus
Methanothermococcus okinawensis
Methanothermus fervidus
Methylacidiphilum infernorum
Methylibium petroleiphilum
Methylobacillus flagellatus
Methylobacter tundripaludum
Methylobacterium extorquens (Methylobacterium chloromethanicum)
Methylobacterium nodulans
Methylobacterium populi
Methylocella silvestris
